cond,seed,ticks,pop_fim,phi_ini,phi_fim,ag_ini,ag_fim,ac_ini,ac_fim,esp_ini,esp_fim,hor_ini,hor_fim,hon_fim,blef_fim,corr_full,corr_3k
fesp,46,29999,313,0.052445,0.066540,0.487534,0.477597,0.087562,0.149890,3.000000,3.000000,6.703790,9.923797,0.811313,0.163317,0.2282,0.5552
fesp,47,29999,240,0.053950,0.066793,0.484993,0.463967,0.087153,0.135067,3.000000,3.000000,6.801032,9.628110,0.861253,0.097430,0.2930,0.4277
fesp,48,29999,243,0.048231,0.062307,0.472192,0.465620,0.076655,0.150163,3.000000,3.000000,6.858601,10.648863,0.751877,0.235307,0.1962,0.5058
fesp,49,29999,310,0.052139,0.064597,0.483854,0.465307,0.084890,0.141677,3.000000,3.000000,7.466954,9.750407,0.843520,0.128633,0.1912,0.5680
fesp,50,29999,279,0.052093,0.068770,0.482267,0.470037,0.090769,0.152327,3.000000,3.000000,7.244242,9.728643,0.811747,0.139070,0.2307,0.6261
fdep,1,29999,219,0.056918,0.020220,0.462395,0.097800,0.104434,0.225713,2.951601,0.228210,6.000000,6.000000,0.895323,0.080933,0.0000,0.0000
fdep,2,29999,266,0.056715,0.016850,0.480847,0.091603,0.103829,0.231997,2.926050,0.225473,6.000000,6.000000,0.756570,0.203977,0.0000,0.0000
fdep,3,29999,316,0.057819,0.021057,0.476772,0.108163,0.101562,0.222217,2.652566,0.278610,6.000000,6.000000,0.878857,0.099363,0.0000,0.0000
fdep,4,29999,246,0.057420,0.012227,0.450858,0.063033,0.103520,0.233167,2.827665,0.165923,6.000000,6.000000,0.854633,0.095560,0.0000,0.0000
fdep,5,29999,293,0.059765,0.019030,0.490580,0.101730,0.102609,0.234190,2.734601,0.239110,6.000000,6.000000,0.837610,0.107213,0.0000,0.0000
fdep,6,29999,328,0.054110,0.017163,0.462018,0.088150,0.094566,0.213260,2.778865,0.198930,6.000000,6.000000,0.877850,0.094103,0.0000,0.0000
fdep,7,29999,313,0.054623,0.018127,0.472712,0.097643,0.096786,0.223823,2.800342,0.191167,6.000000,6.000000,0.896350,0.068700,0.0000,0.0000
fdep,8,29999,272,0.056014,0.018140,0.469559,0.089047,0.105203,0.225537,2.898509,0.220057,6.000000,6.000000,0.845837,0.119357,0.0000,0.0000
fdep,9,29999,346,0.058053,0.022673,0.469263,0.122050,0.098651,0.217533,2.676537,0.333397,6.000000,6.000000,0.782983,0.170477,0.0000,0.0000
fdep,10,29999,281,0.054157,0.014773,0.480758,0.082200,0.093619,0.232143,2.899655,0.209023,6.000000,6.000000,0.909653,0.050350,0.0000,0.0000
fdep,11,29999,310,0.056342,0.017010,0.485384,0.091147,0.102221,0.229350,2.815911,0.211303,6.000000,6.000000,0.887460,0.081953,0.0000,0.0000
fdep,12,29999,300,0.057722,0.017707,0.472231,0.101310,0.103804,0.228960,2.700879,0.271320,6.000000,6.000000,0.902970,0.063667,0.0000,0.0000
fdep,13,29999,272,0.057851,0.018603,0.472509,0.104483,0.103253,0.228780,2.841374,0.269663,6.000000,6.000000,0.867937,0.109627,0.0000,0.0000
fdep,14,29999,219,0.055765,0.018980,0.455306,0.096410,0.101737,0.224343,2.961310,0.245483,6.000000,6.000000,0.894900,0.073337,0.0000,0.0000
fdep,15,29999,329,0.058733,0.020950,0.475811,0.103040,0.106078,0.220690,2.597167,0.267133,6.000000,6.000000,0.888390,0.094073,0.0000,0.0000
fdep,16,29999,242,0.053125,0.012777,0.484936,0.060570,0.091302,0.235007,2.928665,0.135003,6.000000,6.000000,0.894740,0.080920,0.0000,0.0000
fdep,17,29999,307,0.055000,0.016920,0.472459,0.092037,0.096050,0.226370,2.850847,0.217793,6.000000,6.000000,0.842737,0.135877,0.0000,0.0000
fdep,18,29999,276,0.059423,0.019280,0.477107,0.091703,0.101523,0.231483,2.740174,0.219780,6.000000,6.000000,0.879297,0.101513,0.0000,0.0000
fdep,19,29999,286,0.058004,0.021650,0.483580,0.119113,0.101477,0.225483,2.770423,0.318260,6.000000,6.000000,0.875360,0.079850,0.0000,0.0000
fdep,20,29999,321,0.057367,0.013783,0.482851,0.067383,0.096797,0.236800,2.875139,0.157063,6.000000,6.000000,0.872523,0.096847,0.0000,0.0000
fdep,21,29999,319,0.055669,0.018747,0.474794,0.094753,0.097423,0.218407,2.894231,0.216297,6.000000,6.000000,0.779120,0.191370,0.0000,0.0000
fdep,22,29999,287,0.053769,0.016470,0.479562,0.085350,0.097210,0.229087,2.843701,0.220460,6.000000,6.000000,0.812267,0.152603,0.0000,0.0000
fdep,23,29999,303,0.057078,0.021803,0.475139,0.111363,0.102520,0.219160,2.823463,0.325787,6.000000,6.000000,0.843647,0.131103,0.0000,0.0000
fdep,24,29999,320,0.054644,0.021350,0.489897,0.112637,0.093459,0.222923,2.864516,0.292267,6.000000,6.000000,0.884147,0.092047,0.0000,0.0000
fdep,25,29999,312,0.052722,0.014673,0.456484,0.072683,0.093110,0.220700,2.763178,0.166587,6.000000,6.000000,0.811163,0.156683,0.0000,0.0000
fdep,26,29999,244,0.055313,0.016823,0.460260,0.084683,0.097936,0.222917,2.928658,0.215663,6.000000,6.000000,0.796293,0.157070,0.0000,0.0000
