cond,seed,ticks,pop_fim,mod_med,mod_max,ag_med,ag_max,mo_med,mo_max,phi_med,phi_max,rel_med,rel_max,ac_med,ac_max,ac_ini,ac_fim,ag_ini,ag_fim,hor_ini,hor_fim,hon_fim,blef_fim,ag_pares,ag_dif,ag_dif_f32so,ag_dif_dblso
erem,5,2999,293,0.775478,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003880,0.248000,0.029369,0.500000,0.048762,0.021650,0.000000,0.000000,5.000036,2.561347,0.250700,0.378053,859144,0,0,0
erem,6,2999,318,0.777547,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004950,0.612000,0.028632,0.583000,0.038751,0.024407,0.000000,0.000000,5.371000,2.913960,0.279550,0.373637,948137,0,0,0
erem,7,2999,307,0.779154,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004325,0.189000,0.032573,0.533000,0.041673,0.027587,0.000000,0.000000,6.377466,3.755527,0.335247,0.300760,916152,0,0,0
erem,8,2999,263,0.787667,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005128,0.457000,0.030836,0.483000,0.044783,0.025417,0.000000,0.000000,4.883875,2.481470,0.370690,0.220400,779086,0,0,0
erem,9,2999,342,0.773299,1.000000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.004691,0.422000,0.029042,0.633000,0.045103,0.023863,0.000000,0.000000,5.189214,3.095037,0.310300,0.463290,1019831,1,1,0
erem,10,2999,271,0.782210,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003980,0.471000,0.024965,0.350000,0.038833,0.020727,0.000000,0.000000,5.837345,3.068480,0.290327,0.363140,817601,0,0,0
erem,11,2999,303,0.781195,0.997000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.004998,0.295000,0.027897,0.383000,0.042324,0.022153,0.000000,0.000000,5.896028,2.878217,0.296183,0.328860,889730,1,1,0
erem,12,2999,298,0.780472,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.004259,0.388000,0.033869,0.417000,0.046299,0.030313,0.000014,0.000000,5.049274,3.152367,0.370390,0.333977,871452,1,1,0
erem,13,2999,265,0.785983,1.000000,0.000003,0.004000,0.000000,0.000000,0.000000,0.000000,0.004906,0.579000,0.032805,0.467000,0.046324,0.026660,0.000000,0.000000,5.673014,3.095250,0.359940,0.334923,782356,2,2,0
erem,14,2999,199,0.792542,1.000000,0.000002,0.005000,0.000000,0.000000,0.000000,0.000000,0.003683,0.655000,0.035622,0.433000,0.048786,0.027753,0.000018,0.000000,5.592961,3.644590,0.251847,0.335523,609795,1,1,0
erem,15,2999,321,0.778914,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005083,0.471000,0.027365,0.433000,0.037242,0.022183,0.000000,0.000000,5.241794,2.526207,0.329067,0.236547,954894,0,0,0
erem,16,2999,236,0.780733,1.000000,0.000004,0.004000,0.000000,0.000000,0.000000,0.000000,0.003969,0.318000,0.034334,0.367000,0.045167,0.030660,0.000014,0.000000,5.164238,3.112133,0.364133,0.326850,694070,3,3,0
erem,17,2999,308,0.778991,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005100,0.431000,0.033905,0.517000,0.048989,0.025733,0.000000,0.000000,5.803114,2.879353,0.455437,0.266280,900185,0,0,0
erem,18,2999,269,0.783081,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.003846,0.188000,0.026270,0.450000,0.040918,0.019287,0.000000,0.000000,5.612470,2.937417,0.408827,0.305080,805622,1,1,0
erem,19,2999,276,0.780682,1.000000,0.000003,0.004000,0.000000,0.000000,0.000000,0.000000,0.003977,0.613000,0.032572,0.483000,0.046698,0.027837,0.000000,0.000000,5.752036,3.159670,0.391120,0.198897,816198,2,2,0
