variante,desconto,horizonte,seed,k,n,cens,nP,nA,pred_m,real_m,vies,rmse,corr,fprem,viesP,rmseP,maxabsP,fvies,frmse,fcorr
uni,0.80,8,6,7,809256,3120,2878,809646,0.119020,0.349412,-0.230392,0.278209,0.1235,0.0036,-0.009456,0.011570,0.056067377328872681,-0.070279,0.187320,0.2245
uni,0.80,8,7,0,787380,194,749529,0,0.267069,0.349333,-0.082264,0.141636,0.6715,0.9519,-0.091116,0.139743,1.4327972233295441,-9.000000,-9.000000,-9.0000
uni,0.80,8,7,1,786874,388,35716,787068,0.134439,0.349295,-0.214856,0.266386,0.0654,0.0454,0.007559,0.041224,0.78127020597457886,0.090677,0.136945,0.6959
uni,0.80,8,7,2,786368,582,12064,786562,0.122679,0.349263,-0.226584,0.273734,0.1029,0.0153,-0.004392,0.023102,0.58365839719772339,-0.034146,0.085267,0.7156
uni,0.80,8,7,3,785862,776,5201,786056,0.118402,0.349241,-0.230840,0.277337,0.0917,0.0066,-0.008876,0.016796,0.32555204629898071,-0.038349,0.129672,0.3319
uni,0.80,8,7,4,785356,970,2828,785550,0.116764,0.349209,-0.232445,0.278412,0.1005,0.0036,-0.009361,0.013836,0.17582303285598755,-0.100513,0.163943,0.3395
uni,0.80,8,7,5,784850,1164,1672,785044,0.116100,0.349197,-0.233098,0.279182,0.0896,0.0021,-0.009804,0.013073,0.091375887393951416,-0.071024,0.174791,0.1745
uni,0.80,8,7,6,784344,1358,1048,784538,0.115815,0.349185,-0.233370,0.279314,0.0936,0.0013,-0.009628,0.012209,0.070340529084205627,-0.102179,0.184760,0.2555
uni,0.80,8,7,7,783838,1552,683,784032,0.115685,0.349171,-0.233486,0.279566,0.0860,0.0009,-0.009959,0.012305,0.064030960202217102,-0.078444,0.185916,0.1880
uni,0.80,8,8,0,674825,286,644568,0,0.272665,0.349962,-0.077298,0.139065,0.6589,0.9552,-0.084723,0.137445,1.4285714030265808,-9.000000,-9.000000,-9.0000
uni,0.80,8,8,1,674270,572,28148,674556,0.127025,0.349892,-0.222867,0.270923,0.1357,0.0417,0.003333,0.046121,0.66582769155502319,0.085093,0.135480,0.7767
uni,0.80,8,8,2,673715,858,10199,674001,0.116294,0.349834,-0.233539,0.277563,0.1737,0.0151,-0.009465,0.032512,0.53947672247886658,-0.032372,0.085284,0.7836
uni,0.80,8,8,3,673160,1144,4914,673446,0.112442,0.349814,-0.237372,0.280977,0.1609,0.0073,-0.014121,0.025748,0.29616466164588928,-0.039918,0.130759,0.4309
uni,0.80,8,8,4,672605,1430,3040,672891,0.110994,0.349780,-0.238786,0.281858,0.1703,0.0045,-0.014696,0.021663,0.13741554319858551,-0.099972,0.162591,0.4587
uni,0.80,8,8,5,672050,1716,1988,672336,0.110419,0.349759,-0.239339,0.282719,0.1548,0.0030,-0.015240,0.020096,0.07587878406047821,-0.077328,0.177574,0.2538
uni,0.80,8,8,6,671495,2002,1449,671781,0.110178,0.349710,-0.239532,0.282749,0.1583,0.0022,-0.015291,0.019105,0.067288249731063843,-0.105368,0.187118,0.3460
uni,0.80,8,8,7,670940,2288,1100,671226,0.110073,0.349683,-0.239610,0.283149,0.1452,0.0016,-0.015441,0.018694,0.06100761890411377,-0.083735,0.189154,0.2563
uni,0.90,12,1,0,545137,207,525509,0,0.287261,0.349993,-0.062733,0.122093,0.7358,0.9640,-0.067566,0.120201,1.457390695810318,-9.000000,-9.000000,-9.0000
uni,0.90,12,1,1,544711,414,23638,544918,0.114657,0.349962,-0.235305,0.284827,-0.0038,0.0434,-0.006389,0.050673,0.99841052293777466,0.068429,0.119307,0.7965
uni,0.90,12,1,2,544285,621,10880,544492,0.105429,0.349934,-0.244506,0.290276,0.0166,0.0200,-0.012191,0.037294,0.71226254105567932,-0.035995,0.081893,0.7825
uni,0.90,12,1,3,543859,828,6350,544066,0.102206,0.349918,-0.247712,0.292710,0.0160,0.0117,-0.013847,0.024390,0.32705023884773254,-0.049686,0.126782,0.3964
uni,0.90,12,1,4,543433,1035,4342,543640,0.101034,0.349899,-0.248865,0.293329,0.0292,0.0080,-0.012763,0.018548,0.14600041508674622,-0.108155,0.162125,0.4109
uni,0.90,12,1,5,543008,1241,3089,543214,0.100583,0.349886,-0.249302,0.293808,0.0238,0.0057,-0.012273,0.016075,0.079789981245994568,-0.098374,0.184115,0.1839
uni,0.90,12,1,6,542583,1447,2328,542789,0.100395,0.349868,-0.249473,0.293810,0.0300,0.0043,-0.011699,0.014724,0.066806763410568237,-0.123793,0.198271,0.2441
uni,0.90,12,1,7,542158,1653,1731,542364,0.100309,0.349856,-0.249547,0.293986,0.0248,0.0032,-0.011550,0.014242,0.052516266703605652,-0.106918,0.201934,0.1600
uni,0.90,12,1,8,541733,1859,1331,541939,0.100261,0.349837,-0.249576,0.293909,0.0293,0.0025,-0.011385,0.013889,0.048593759536743164,-0.124142,0.207648,0.2253
uni,0.90,12,1,9,541308,2065,1008,541514,0.100232,0.349830,-0.249599,0.294027,0.0252,0.0019,-0.011181,0.013538,0.045828387141227722,-0.112054,0.209349,0.1690
uni,0.90,12,1,10,540883,2271,767,541089,0.100209,0.349817,-0.249607,0.293967,0.0281,0.0014,-0.011016,0.013294,0.043878793716430664,-0.127048,0.214781,0.2179
uni,0.90,12,1,11,540458,2477,584,540664,0.100190,0.349800,-0.249610,0.294053,0.0241,0.0011,-0.011310,0.013591,0.042504340410232544,-0.116683,0.216209,0.1726
uni,0.90,12,2,0,657894,185,621097,0,0.269263,0.349453,-0.080190,0.142447,0.6915,0.9441,-0.087753,0.141705,1.5,-9.000000,-9.000000,-9.0000
uni,0.90,12,2,1,657442,370,32671,657627,0.129140,0.349428,-0.220287,0.277061,0.0242,0.0497,-0.006402,0.049969,0.86353307962417603,0.089403,0.140946,0.7955
uni,0.90,12,2,2,656991,555,14218,657176,0.119807,0.349417,-0.229610,0.282095,0.0480,0.0216,-0.012554,0.041498,0.52444557845592499,-0.028218,0.091298,0.7542
uni,0.90,12,2,3,656540,740,7525,656725,0.116507,0.349409,-0.232902,0.284672,0.0415,0.0115,-0.015694,0.028873,0.28546257317066193,-0.021769,0.134888,0.3666
uni,0.90,12,2,4,656089,925,4856,656274,0.115288,0.349400,-0.234112,0.285269,0.0547,0.0074,-0.015327,0.022278,0.1527206152677536,-0.089023,0.161852,0.3861
uni,0.90,12,2,5,655638,1110,3293,655823,0.114814,0.349387,-0.234573,0.285822,0.0470,0.0050,-0.015427,0.019784,0.077854111790657043,-0.064172,0.181765,0.1742
uni,0.90,12,2,6,655187,1295,2399,655372,0.114615,0.349377,-0.234762,0.285797,0.0539,0.0037,-0.014818,0.018006,0.068944528698921204,-0.101071,0.194199,0.2403
uni,0.90,12,2,7,654736,1480,1774,654921,0.114525,0.349362,-0.234837,0.286033,0.0469,0.0027,-0.014636,0.017314,0.062760189175605774,-0.074230,0.198806,0.1592
uni,0.90,12,2,8,654285,1665,1348,654470,0.114478,0.349354,-0.234875,0.285944,0.0515,0.0021,-0.014352,0.016641,0.051722362637519836,-0.101978,0.205578,0.2229
uni,0.90,12,2,9,653834,1850,1021,654019,0.114452,0.349347,-0.234895,0.286146,0.0443,0.0016,-0.014594,0.016700,0.048644512891769409,-0.079883,0.207477,0.1707
uni,0.90,12,2,10,653383,2035,794,653568,0.114431,0.349342,-0.234911,0.286038,0.0492,0.0012,-0.014488,0.016457,0.039954513311386108,-0.103512,0.213627,0.2195
uni,0.90,12,2,11,652932,2220,611,653117,0.114416,0.349342,-0.234926,0.286216,0.0428,0.0009,-0.014583,0.016481,0.039097964763641357,-0.085716,0.215868,0.1801
uni,0.90,12,3,0,796527,135,769949,0,0.282885,0.350035,-0.067150,0.123723,0.7545,0.9666,-0.072397,0.121890,1.5,-9.000000,-9.000000,-9.0000
uni,0.90,12,3,1,796074,270,29220,796209,0.122696,0.350016,-0.227320,0.280039,-0.0228,0.0367,0.004957,0.041909,0.88622093200683594,0.071779,0.118902,0.7000
uni,0.90,12,3,2,795621,405,10611,795756,0.111905,0.349999,-0.238094,0.286584,0.0022,0.0133,-0.005845,0.027179,0.42730060219764709,-0.042372,0.080825,0.7219
uni,0.90,12,3,3,795168,540,5042,795303,0.108076,0.349989,-0.241913,0.289482,0.0032,0.0063,-0.009613,0.019443,0.27028633654117584,-0.052881,0.124936,0.2973
uni,0.90,12,3,4,794715,675,2960,794850,0.106651,0.349969,-0.243318,0.290358,0.0156,0.0037,-0.010094,0.015673,0.1812923401594162,-0.116244,0.165840,0.2932
uni,0.90,12,3,5,794262,810,1870,794397,0.106091,0.349963,-0.243872,0.290839,0.0139,0.0024,-0.010636,0.014430,0.11747397482395172,-0.100235,0.184401,0.0821
uni,0.90,12,3,6,793809,945,1299,793944,0.105855,0.349953,-0.244098,0.290937,0.0184,0.0016,-0.010386,0.013243,0.051892176270484924,-0.129610,0.200737,0.1357
uni,0.90,12,3,7,793356,1080,915,793491,0.105749,0.349941,-0.244193,0.291043,0.0165,0.0012,-0.010702,0.013126,0.046921104192733765,-0.107682,0.201362,0.0765
uni,0.90,12,3,8,792903,1215,702,793038,0.105696,0.349932,-0.244236,0.291013,0.0198,0.0009,-0.010595,0.012844,0.043416485190391541,-0.127848,0.208295,0.1420
uni,0.90,12,3,9,792450,1350,533,792585,0.105668,0.349922,-0.244253,0.291054,0.0179,0.0007,-0.011003,0.013046,0.040945738554000854,-0.111196,0.207330,0.0986
uni,0.90,12,3,10,791998,1485,414,792133,0.105652,0.349912,-0.244260,0.290997,0.0214,0.0005,-0.010765,0.012758,0.039203852415084839,-0.128443,0.213416,0.1452
uni,0.90,12,3,11,791546,1620,330,791681,0.105642,0.349909,-0.244267,0.291041,0.0196,0.0004,-0.010902,0.012824,0.03797583281993866,-0.115860,0.213387,0.1099
