desconto,horizonte,seed,pop,energia,comida_total,modelo,hor_m,desc_m
0.95,1,3,324.3967,5.2767,352.7150,0.9063,1.0000,0.9500
0.95,1,4,249.6400,6.0040,325.0803,0.9367,1.0000,0.9500
0.95,1,5,298.8200,5.6799,338.7477,0.9120,1.0000,0.9500
0.95,1,6,329.2267,6.1489,341.1060,0.8938,1.0000,0.9500
0.95,1,7,317.8933,5.9007,339.0887,0.8972,1.0000,0.9500
0.95,1,8,273.7200,6.0565,321.9623,0.9200,1.0000,0.9500
0.95,2,1,225.9333,5.4087,311.0553,0.7345,2.0000,0.9500
0.95,2,2,274.1133,5.9743,318.3233,0.7349,2.0000,0.9500
0.95,2,3,324.6900,5.0094,347.6550,0.7338,2.0000,0.9500
0.95,2,4,249.5600,5.9322,323.2170,0.7360,2.0000,0.9500
0.95,2,5,299.4900,5.0318,334.6233,0.7327,2.0000,0.9500
0.95,2,6,329.8767,5.6613,338.7870,0.7336,2.0000,0.9500
0.95,2,7,318.0000,5.3499,336.8407,0.7358,2.0000,0.9500
0.95,2,8,272.3200,5.9272,321.9713,0.7362,2.0000,0.9500
0.95,3,1,227.0467,4.9274,315.1890,0.6533,3.0000,0.9500
0.95,3,2,270.1500,5.7112,328.7190,0.6634,3.0000,0.9500
0.95,3,3,324.4267,4.7944,350.6307,0.6622,3.0000,0.9500
0.95,3,4,246.5767,5.4972,329.1293,0.6521,3.0000,0.9500
0.95,3,5,299.3833,5.1728,340.4217,0.6611,3.0000,0.9500
0.95,3,6,327.0167,4.8562,346.0660,0.6697,3.0000,0.9500
0.95,3,7,318.0033,5.2415,342.4837,0.6696,3.0000,0.9500
0.95,3,8,272.2400,5.4370,328.2733,0.6623,3.0000,0.9500
0.95,4,1,226.3367,5.6327,322.3710,0.6090,4.0000,0.9500
0.95,4,2,269.3367,5.8068,336.7463,0.6244,4.0000,0.9500
0.95,4,3,321.2533,4.6761,356.9207,0.6209,4.0000,0.9500
0.95,4,4,245.2400,5.7977,338.7730,0.6107,4.0000,0.9500
0.95,4,5,295.1600,4.7480,350.6313,0.6216,4.0000,0.9500
0.95,4,6,328.1033,5.1058,351.6883,0.6377,4.0000,0.9500
0.95,4,7,313.1600,5.0173,354.5480,0.6353,4.0000,0.9500
0.95,4,8,274.1967,5.2301,334.0740,0.6245,4.0000,0.9500
0.95,5,1,222.0167,6.3695,332.2690,0.5786,5.0000,0.9500
0.95,5,2,270.9733,5.0911,345.3997,0.6036,5.0000,0.9500
0.95,5,3,317.9833,5.7416,364.9363,0.5969,5.0000,0.9500
0.95,5,4,241.1700,6.5598,350.1103,0.5808,5.0000,0.9500
0.95,5,5,298.4867,5.2678,356.0573,0.6002,5.0000,0.9500
0.95,5,6,323.5800,5.5662,362.8087,0.6168,5.0000,0.9500
0.95,5,7,311.6733,5.5536,360.5550,0.6148,5.0000,0.9500
0.95,5,8,269.2300,5.3036,347.9283,0.6007,5.0000,0.9500
0.95,6,1,225.8900,6.0596,336.5370,0.5652,6.0000,0.9500
0.95,6,2,262.6900,6.6732,357.1980,0.5876,6.0000,0.9500
0.95,6,3,320.0067,7.0293,368.8647,0.5794,6.0000,0.9500
0.95,6,4,242.1533,7.0265,353.8210,0.5633,6.0000,0.9500
0.95,6,5,294.6500,5.8560,363.8087,0.5838,6.0000,0.9500
0.95,6,6,322.4433,5.9184,369.4327,0.6046,6.0000,0.9500
0.95,6,7,311.9367,5.9210,367.5520,0.6023,6.0000,0.9500
0.95,6,8,269.7867,6.1130,353.6080,0.5877,6.0000,0.9500
0.95,7,1,222.0400,6.3140,344.6657,0.5495,7.0000,0.9500
0.95,7,2,263.8233,6.6437,363.4520,0.5775,7.0000,0.9500
0.95,7,3,324.1533,5.9435,370.1703,0.5711,7.0000,0.9500
0.95,7,4,241.4300,6.5247,362.0923,0.5543,7.0000,0.9500
0.95,7,5,297.6400,6.7017,368.5857,0.5764,7.0000,0.9500
0.95,7,6,323.7333,6.2102,374.8457,0.5949,7.0000,0.9500
0.95,7,7,314.8000,6.5438,371.0690,0.5916,7.0000,0.9500
0.95,7,8,270.0967,6.6682,358.9160,0.5805,7.0000,0.9500
0.95,8,1,219.4233,7.1758,354.1933,0.5446,8.0000,0.9500
0.95,8,2,266.7700,6.2927,368.8620,0.5749,8.0000,0.9500
0.95,8,3,316.3700,6.5569,379.5940,0.5586,8.0000,0.9500
0.95,8,4,239.7433,6.5353,370.8143,0.5488,8.0000,0.9500
0.95,8,5,291.1967,6.5154,379.6637,0.5659,8.0000,0.9500
0.95,8,6,323.1700,6.8403,378.7283,0.5877,8.0000,0.9500
0.95,8,7,314.6200,6.7060,376.7947,0.5911,8.0000,0.9500
0.95,8,8,261.8567,6.4300,378.3523,0.5717,8.0000,0.9500
0.95,9,1,217.1067,6.5121,364.9613,0.5361,9.0000,0.9500
0.95,9,2,262.6500,7.3622,377.8463,0.5680,9.0000,0.9500
0.95,9,3,315.9667,6.9488,384.5417,0.5549,9.0000,0.9500
0.95,9,4,239.1533,7.0471,376.0197,0.5369,9.0000,0.9500
0.95,9,5,291.7100,7.0384,383.1703,0.5618,9.0000,0.9500
0.95,9,6,322.8900,6.9750,386.7700,0.5856,9.0000,0.9500
0.95,9,7,308.9533,7.0562,388.0767,0.5793,9.0000,0.9500
0.95,9,8,261.7767,6.9734,382.7733,0.5643,9.0000,0.9500
0.95,10,1,216.2167,6.5888,371.1707,0.5313,10.0000,0.9500
0.95,10,2,261.7033,6.9143,386.8943,0.5601,10.0000,0.9500
0.95,10,3,319.6800,6.8925,387.1803,0.5479,10.0000,0.9500
0.95,10,4,239.2267,6.7186,383.9770,0.5359,10.0000,0.9500
0.95,10,5,290.6867,6.9854,390.7227,0.5540,10.0000,0.9500
0.95,10,6,317.1133,6.7563,398.0300,0.5785,10.0000,0.9500
0.95,10,7,306.8267,6.9607,394.3857,0.5738,10.0000,0.9500
0.95,10,8,261.5000,6.9483,390.0843,0.5611,10.0000,0.9500
0.95,11,1,214.8300,7.1143,378.4737,0.5296,11.0000,0.9500
0.95,11,2,257.6433,7.3023,395.1470,0.5572,11.0000,0.9500
0.95,11,3,315.1300,6.6778,396.2570,0.5430,11.0000,0.9500
0.95,11,4,236.4233,6.5869,394.6093,0.5300,11.0000,0.9500
0.95,11,5,288.4633,6.9458,398.6943,0.5513,11.0000,0.9500
0.95,11,6,317.0100,6.6567,408.0040,0.5806,11.0000,0.9500
0.95,11,7,306.4833,6.6460,402.9660,0.5708,11.0000,0.9500
0.95,11,8,260.6500,6.8989,396.4937,0.5583,11.0000,0.9500
0.95,12,1,211.2067,6.7846,394.4007,0.5264,12.0000,0.9500
0.95,12,2,258.4933,6.9867,402.6867,0.5581,12.0000,0.9500
0.95,12,3,316.6700,6.5239,399.9507,0.5395,12.0000,0.9500
0.95,12,4,236.0367,6.4666,402.2043,0.5284,12.0000,0.9500
0.95,12,5,287.2833,6.8257,408.0557,0.5486,12.0000,0.9500
0.95,12,6,315.4867,6.6652,414.1453,0.5763,12.0000,0.9500
0.95,12,7,304.4733,6.7599,411.0113,0.5685,12.0000,0.9500
0.95,12,8,259.4300,6.8588,406.1750,0.5581,12.0000,0.9500
